gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse,ENTREZID,product,ensembl_gene_id,external_synonym,chromosome_name,gene_biotype,phenotype_description,hsapiens_homolog_associated_gene_name,expression_log
Mog,GSM2545348,4252,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,8,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,8.355144739461839
Ccl27a,GSM2545348,2203,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,8,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.697575346802343
Tac4,GSM2545348,11,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,8,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,2.3978952727983707
Snhg8,GSM2545348,320,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,8,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,5.768320995793772
Ak6,GSM2545348,353,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,8,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,5.8664680569332965
Kctd20,GSM2545348,3222,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,8,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,8.07775756373692
Pex6,GSM2545349,1906,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,7,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.552762084214147
Aim2,GSM2545349,141,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,7,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,4.948759890378168
Ednrb,GSM2545349,6656,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,7,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.803273982501045
Nuf2,GSM2545349,172,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,7,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,5.147494476813453
Mog,GSM2545349,3119,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,7,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,8.045267716607803
Ccl27a,GSM2545349,1980,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,7,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.590852123688581
Tac4,GSM2545349,13,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,7,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,2.5649493574615367
Snhg8,GSM2545349,313,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,7,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,5.746203190540153
Ak6,GSM2545349,348,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,7,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,5.8522024797744745
Kctd20,GSM2545349,3070,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,7,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,8.029432840581244
Pex6,GSM2545350,2140,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,1,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.668561108015897
Aim2,GSM2545350,138,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,1,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,4.927253685157205
Ednrb,GSM2545350,6514,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,1,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.781708985836179
Nuf2,GSM2545350,197,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,1,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,5.2832037287379885
Mog,GSM2545350,3004,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,1,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,8.007700012884026
Ccl27a,GSM2545350,2073,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,1,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.636752112435779
Tac4,GSM2545350,31,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,1,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,3.4339872044851463
Snhg8,GSM2545350,367,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,1,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,5.905361848054571
Ak6,GSM2545350,378,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,1,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,5.934894195619588
Kctd20,GSM2545350,3683,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,1,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,8.211482916445066
Pex6,GSM2545351,1343,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,16,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.202661196523238
Aim2,GSM2545351,262,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,16,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,5.568344503761097
Ednrb,GSM2545351,4935,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,16,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.504107951867582
Nuf2,GSM2545351,81,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,16,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,4.394449154672439
Mog,GSM2545351,1894,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,16,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,7.546446273746024
Ccl27a,GSM2545351,1353,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,16,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.210079628170788
Tac4,GSM2545351,33,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,16,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,3.4965075614664802
Snhg8,GSM2545351,535,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,16,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,6.282266746896006
Ak6,GSM2545351,226,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,16,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,5.420534999272286
Kctd20,GSM2545351,2552,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,16,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,7.844632644464681
Pex6,GSM2545352,2411,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,21,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.787796878181171
Aim2,GSM2545352,191,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,21,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,5.25227342804663
Ednrb,GSM2545352,5499,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,21,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.612321536507814
Nuf2,GSM2545352,186,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,21,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,5.225746673713202
Mog,GSM2545352,3422,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,21,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,8.137980454452139
Ccl27a,GSM2545352,2328,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,21,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.752764808851328
Tac4,GSM2545352,22,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,21,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,3.091042453358316
Snhg8,GSM2545352,448,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,21,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,6.104793232414985
Ak6,GSM2545352,424,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,21,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,6.049733455231958
Kctd20,GSM2545352,3358,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,21,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,8.119100837637486
Pex6,GSM2545353,2208,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,4,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.699842407396986
Aim2,GSM2545353,162,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,4,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,5.087596335232384
Ednrb,GSM2545353,6084,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,4,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.713417653379183
Nuf2,GSM2545353,179,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,4,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,5.187385805840755
Mog,GSM2545353,2654,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,4,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,7.8838232148921525
Ccl27a,GSM2545353,2231,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,4,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.7102051944325325
Tac4,GSM2545353,11,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,4,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,2.3978952727983707
Snhg8,GSM2545353,423,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,4,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,6.0473721790462776
Ak6,GSM2545353,430,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,4,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,6.063785208687608
Kctd20,GSM2545353,3228,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,4,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,8.07961802938984
Pex6,GSM2545354,1803,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,2,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.497207223203318
Aim2,GSM2545354,135,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,2,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,4.90527477843843
Ednrb,GSM2545354,6034,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,2,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.705165419719007
Nuf2,GSM2545354,186,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,2,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,5.225746673713202
Mog,GSM2545354,3024,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,2,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,8.014335737299424
Ccl27a,GSM2545354,1774,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,2,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.480992162869525
Tac4,GSM2545354,11,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,2,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,2.3978952727983707
Snhg8,GSM2545354,335,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,2,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,5.814130531825066
Ak6,GSM2545354,359,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,2,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,5.883322388488279
Kctd20,GSM2545354,2906,Mus musculus,8,Male,NonInfected,C57BL/6,0,Cerebellum,2,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,7.974532844130228
Pex6,GSM2545362,1709,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,20,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.443663683115591
Aim2,GSM2545362,224,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,20,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,5.4116460518550396
Ednrb,GSM2545362,5609,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,20,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.632127729508337
Nuf2,GSM2545362,103,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,20,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,4.634728988229636
Mog,GSM2545362,2817,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,20,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,7.943427767876373
Ccl27a,GSM2545362,1940,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,20,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.570443252057374
Tac4,GSM2545362,16,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,20,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,2.772588722239781
Snhg8,GSM2545362,401,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,20,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,5.993961427306569
Ak6,GSM2545362,291,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,20,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,5.673323267171493
Kctd20,GSM2545362,2742,Mus musculus,8,Female,InfluenzaA,C57BL/6,4,Cerebellum,20,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,7.91644286012226
Pex6,GSM2545363,1891,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,12,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.544861068658458
Aim2,GSM2545363,140,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,12,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,4.941642422609304
Ednrb,GSM2545363,5885,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,12,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.680162019694377
Nuf2,GSM2545363,148,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,12,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,4.997212273764115
Mog,GSM2545363,2523,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,12,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,7.833203948641057
Ccl27a,GSM2545363,2172,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,12,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.683403681053826
Tac4,GSM2545363,20,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,12,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,2.995732273553991
Snhg8,GSM2545363,401,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,12,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,5.993961427306569
Ak6,GSM2545363,382,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,12,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,5.945420608606575
Kctd20,GSM2545363,2751,Mus musculus,8,Male,InfluenzaA,C57BL/6,4,Cerebellum,12,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,7.919719760924575
Pex6,GSM2545380,1557,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,19,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.350516171833998
Aim2,GSM2545380,232,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,19,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,5.44673737166631
Ednrb,GSM2545380,4599,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,19,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.433594167539924
Nuf2,GSM2545380,98,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,19,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,4.584967478670572
Mog,GSM2545380,1893,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,19,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,7.545918151209323
Ccl27a,GSM2545380,1568,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,19,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.357556200910353
Tac4,GSM2545380,47,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,19,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,3.8501476017100584
Snhg8,GSM2545380,677,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,19,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,6.517671272912275
Ak6,GSM2545380,278,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,19,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,5.627621113690637
Kctd20,GSM2545380,2778,Mus musculus,8,Female,InfluenzaA,C57BL/6,8,Cerebellum,19,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,7.9294865233142895
